# ----------------------------------------
# 411_web-bnet/sc2 (aggregated without locale)
# Site Pageviews
# 20151023-20151114
# ----------------------------------------

Page,Pageviews
/eu.battle.net/sc2/LOCALE/blog/19955452/AGGREGATED,"18,078"
/eu.battle.net/sc2/LOCALE/forum/44101/,"17,894"
/eu.battle.net/sc2/LOCALE/blog/9998450/AGGREGATED,"17,514"
/eu.battle.net/sc2/LOCALE/blog/19955743/AGGREGATED,"17,468"
/us.battle.net/sc2/LOCALE/blog/19930937/AGGREGATED,"16,964"
/kr.battle.net/sc2/LOCALE/blog/19955742/AGGREGATED,"16,868"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/1,"16,744"
/eu.battle.net/sc2/LOCALE/game/hero/,"16,667"
/eu.battle.net/sc2/LOCALE/profile/AGGREGATED/rewards/,"16,580"
/eu.battle.net/sc2/LOCALE/game/race/terran/,"16,418"
/us.battle.net/sc2/LOCALE/game/race/protoss/,"16,372"
/eu.battle.net/sc2/LOCALE/media/videos/,"16,204"
/kr.battle.net/sc2/LOCALE/media/comics/,"15,863"
/us.battle.net/sc2/LOCALE/blog/19907624/AGGREGATED,"15,760"
/us.battle.net/sc2/LOCALE/blog/19932223/AGGREGATED,"15,718"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/1,"15,603"
/tw.battle.net/sc2/LOCALE/buy-now/,"14,690"
/eu.battle.net/sc2/LOCALE/game/race/zerg/,"14,625"
/us.battle.net/sc2/LOCALE/blog/19954444/AGGREGATED,"14,579"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/1,"14,544"
/kr.battle.net/sc2/LOCALE/blog/19954440/AGGREGATED,"14,387"
/tw.battle.net/sc2/LOCALE/game/unit/,"14,256"
/eu.battle.net/sc2/LOCALE/profile/AGGREGATED/ladder/,"13,829"
/kr.battle.net/sc2/LOCALE/game/hero/,"13,696"
/kr.battle.net/sc2/LOCALE/game/unit/cyclone,"13,593"
/us.battle.net/sc2/LOCALE/game/race/terran/,"13,554"
/eu.battle.net/sc2/LOCALE/media/artwork/,"13,525"
/kr.battle.net/sc2/LOCALE/game/unit/adept,"13,178"
/kr.battle.net/sc2/LOCALE/game/unit/liberator,"13,170"
/eu.battle.net/sc2/LOCALE/forum/44099/,"13,111"
/us.battle.net/sc2/LOCALE/blog/19938591/AGGREGATED,"13,087"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/2,"12,887"
/eu.battle.net/sc2/LOCALE/forum/11819/,"12,878"
/tw.battle.net/sc2/LOCALE/blog/19941395/AGGREGATED,"12,844"
/eu.battle.net/sc2/LOCALE/blog/19938589/AGGREGATED,"12,807"
/us.battle.net/sc2/LOCALE/blog/19955452/AGGREGATED,"12,709"
/eu.battle.net/sc2/LOCALE/game/guide/whats-sc2,"12,486"
/eu.battle.net/sc2/LOCALE/blog/19954444/AGGREGATED,"12,279"
/eu.battle.net/sc2/LOCALE/profile/AGGREGATED/matches,"12,220"
/us.battle.net/sc2/LOCALE/game/race/zerg/,"11,994"
/eu.battle.net/sc2/LOCALE/game/race/,"11,924"
/eu.battle.net/sc2/LOCALE/forum/11890/,"11,902"
/kr.battle.net/sc2/LOCALE/game/race/terran/,"11,852"
/kr.battle.net/sc2/LOCALE/game/race/protoss/,"11,759"
/kr.battle.net/sc2/LOCALE/media/costumes/,"11,724"
/us.battle.net/sc2/LOCALE/blog/19941394/AGGREGATED,"11,719"
/us.battle.net/sc2/LOCALE/forum/41052/,"11,656"
/eu.battle.net/sc2/LOCALE/game/patch-notes/,"11,646"
/tw.battle.net/sc2/LOCALE/forum/,"11,410"
/us.battle.net/sc2/LOCALE/forum/13440/,"11,352"
/kr.battle.net/sc2/LOCALE/game/planet/,"11,335"
/us.battle.net/sc2/LOCALE/game/guide/whats-sc2,"11,331"
/kr.battle.net/sc2/LOCALE/game/unit/disruptor,"11,198"
/kr.battle.net/sc2/LOCALE/forum/11881/,"11,179"
/us.battle.net/sc2/LOCALE/blog/19817454/AGGREGATED,"11,131"
/eu.battle.net/sc2/LOCALE/media/fanart/,"10,740"
/us.battle.net/sc2/LOCALE/profile/AGGREGATED/achievements/,"10,704"
/us.battle.net/sc2/LOCALE/profile/AGGREGATED/rewards/,"10,604"
/eu.battle.net/sc2/LOCALE/forum/44102/,"10,593"
/us.battle.net/sc2/LOCALE/media/videos/,"10,463"
/us.battle.net/sc2/LOCALE/forum/13434/,"10,415"
/us.battle.net/sc2/LOCALE/game/patch-notes/,"10,346"
/eu.battle.net/sc2/LOCALE/blog/19929294/AGGREGATED,"10,312"
/kr.battle.net/sc2/LOCALE/blog/19957543/AGGREGATED,"10,251"
/kr.battle.net/sc2/LOCALE/game/unit/lurker,"10,244"
/tw.battle.net/sc2/LOCALE/profile/AGGREGATED/,"10,221"
/us.battle.net/sc2/LOCALE/media/artwork/,"10,138"
/kr.battle.net/sc2/LOCALE/blog/19953693/AGGREGATED,"10,056"
/us.battle.net/sc2/LOCALE/forum/13435/,"10,002"
/eu.battle.net/sc2/LOCALE/forum/11815/,"9,987"
/sea.battle.net/sc2/LOCALE/legacy-of-the-void/,"9,960"
/tw.battle.net/sc2/LOCALE/game/unit/adept,"9,930"
/kr.battle.net/sc2/LOCALE/media/screenshots/,"9,906"
/us.battle.net/sc2/LOCALE/blog/19930935/AGGREGATED,"9,896"
/us.battle.net/sc2/LOCALE/game/race/,"9,870"
/kr.battle.net/sc2/LOCALE/game/unit/ravager,"9,727"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/1,"9,724"
/eu.battle.net/sc2/LOCALE/game/lore/the-story-of-starcraft/chapter1,"9,702"
/us.battle.net/sc2/LOCALE/blog/19933508/AGGREGATED,"9,650"
/eu.battle.net/sc2/LOCALE/ladder/grandmaster/heart-of-the-swarm,"9,588"
/us.battle.net/sc2/LOCALE/blog/19940901/AGGREGATED,"9,509"
